City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Paita,PE,-5.09,-81.11,62.71,84,1,16.2,clear sky
290,Fairbanks,US,64.84,-147.72,5.0,77,75,2.24,broken clouds
291,Cidreira,BR,-30.18,-50.21,64.2,72,0,6.93,clear sky
292,Waipawa,NZ,-41.41,175.52,59.0,82,100,13.87,overcast clouds
293,Lata,PT,40.16,-8.33,59.0,83,100,1.99,light rain
294,Maarianhamina,AX,60.1,19.93,48.2,61,0,6.93,clear sky
295,Sobolevo,RU,54.43,31.9,45.21,85,100,16.35,light rain
296,Baruun-Urt,MN,46.68,113.28,26.29,75,62,15.82,broken clouds
297,Constitucion,CL,-35.33,-72.42,54.23,78,0,15.86,clear sky
298,Kimbe,PG,-5.55,150.14,86.43,62,99,2.98,overcast clouds
299,Mar Del Plata,AR,-38.0,-57.56,66.2,77,40,4.7,scattered clouds
300,Ellensburg,US,47.0,-120.55,46.99,77,100,7.0,light rain
301,Santa Maria Del Oro,MX,25.93,-105.37,66.96,27,38,10.42,scattered clouds
302,Klyuchi,RU,52.27,79.17,34.29,86,68,7.85,broken clouds
303,Inuvik,CA,68.35,-133.72,5.0,71,0,9.17,clear sky
304,Gusev,RU,54.59,22.2,50.38,91,100,14.88,overcast clouds
305,Preobrazheniye,RU,42.9,133.91,49.62,72,97,5.84,overcast clouds
306,Harper,LR,4.38,-7.72,78.44,87,4,8.77,moderate rain
307,Sept-Iles,CA,50.2,-66.38,35.01,90,100,2.24,overcast clouds
308,Upata,VE,8.01,-62.4,71.73,96,69,3.09,broken clouds
309,Bintulu,MY,3.17,113.03,77.0,94,20,4.7,few clouds
310,Emba,KZ,48.83,58.14,43.59,49,100,7.54,overcast clouds
311,Wagar,SD,16.15,36.2,72.73,77,0,5.19,clear sky
312,Sharjah,AE,25.36,55.4,75.2,88,0,3.36,mist
313,Suba,PH,10.84,121.01,81.9,77,18,8.84,few clouds
314,Ipameri,BR,-17.72,-48.16,71.47,53,29,3.91,scattered clouds
315,Cap Malheureux,MU,-19.98,57.61,71.01,78,0,3.0,clear sky
316,Ancud,CL,-41.87,-73.82,55.4,62,90,6.93,overcast clouds
317,Odweyne,SO,9.41,45.06,68.4,41,16,1.59,few clouds
318,Tautira,PF,-17.73,-149.15,78.8,83,75,6.93,shower rain
319,Itarema,BR,-2.92,-39.92,79.7,80,0,13.73,clear sky
320,Airai,TL,-8.93,125.41,74.75,50,5,2.82,clear sky
321,Mabaruma,GY,8.2,-59.78,75.58,95,43,4.07,light rain
322,Oistins,BB,13.07,-59.53,80.6,83,40,20.8,shower rain
323,La Romana,DO,18.43,-68.97,77.0,83,40,8.19,scattered clouds
324,Binzhou,CN,37.37,118.02,55.38,66,49,9.15,scattered clouds
325,Wheeling,US,42.14,-87.93,68.0,42,1,5.82,clear sky
326,Jishou,CN,28.32,109.72,59.52,78,100,1.88,overcast clouds
327,Ambovombe,MG,-25.17,46.08,70.43,89,93,3.4,overcast clouds
328,Severo-Kurilsk,RU,50.68,156.12,35.8,81,95,28.39,overcast clouds
329,Moron,AR,-34.65,-58.62,70.0,55,0,4.0,clear sky
330,Oakdale,US,44.96,-92.96,62.6,38,1,3.36,clear sky
331,Dicamay,PH,16.76,122.0,77.04,81,64,0.72,broken clouds
332,Belyy Yar,RU,53.6,91.39,35.6,64,0,15.66,clear sky
333,Cherskiy,RU,68.75,161.3,25.36,93,100,26.73,overcast clouds
334,Olafsvik,IS,64.89,-23.71,40.75,69,100,44.92,heavy intensity rain
335,Batagay,RU,67.63,134.63,-26.27,84,45,1.92,scattered clouds
336,Port Macquarie,AU,-31.43,152.92,68.0,59,75,18.34,broken clouds
337,Tuy Hoa,VN,13.08,109.3,74.62,91,100,8.48,light rain
338,Bereda,ES,43.27,-7.54,53.01,96,100,3.0,overcast clouds
339,Yuzhnyy,RU,53.25,83.69,32.0,94,40,11.18,scattered clouds
340,Jalu,LY,29.03,21.55,62.92,82,6,10.4,clear sky
341,Ust-Kulom,RU,61.69,53.69,37.42,91,100,7.11,overcast clouds
342,Deputatskiy,RU,69.3,139.9,-7.24,93,98,1.92,overcast clouds
343,Nocupetaro,MX,19.05,-101.15,73.22,59,84,2.01,broken clouds
344,Tzucacab,MX,20.07,-89.05,74.01,97,97,5.37,light rain
345,Midland,US,32.0,-102.08,82.4,13,0,8.05,clear sky
346,Grand Gaube,MU,-20.01,57.66,71.01,78,0,4.0,clear sky
347,Hopelchen,MX,19.77,-89.85,82.4,78,75,17.22,broken clouds
348,Hay River,CA,60.82,-115.8,10.4,85,100,6.93,light snow
349,Kavieng,PG,-2.57,150.8,83.21,77,99,10.51,light rain
350,Janauba,BR,-15.8,-43.31,72.14,83,52,4.36,broken clouds
351,Magadan,RU,59.57,150.8,5.86,82,91,7.54,overcast clouds
352,Kargasok,RU,59.06,80.86,32.9,97,99,6.31,overcast clouds
353,Hambantota,LK,6.12,81.12,78.55,85,95,6.62,overcast clouds
354,Bartica,GY,6.4,-58.62,78.8,88,40,4.7,thunderstorm
355,Gambela,ET,8.25,34.58,72.88,79,15,3.47,light rain
356,Usinsk,RU,65.99,57.53,35.96,97,100,13.29,light rain
357,Butembo,CD,0.15,29.28,57.49,100,100,3.2,light rain
358,Milos,GR,36.75,24.43,64.4,72,87,26.4,light rain
359,San Policarpo,PH,12.18,125.51,82.0,81,88,7.9,overcast clouds
360,Moree,AU,-29.47,149.85,68.0,37,0,9.17,clear sky
